,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,date_hour,temp,clouds,pressure,rain,humidity,wind,hour,date,day,product,product_Accessible,product_Basic,product_Lux,product_SUV,product_Sedan,product_Shared,product_XL
1505,2.44,Lyft,Beacon Hill,North End,13.5,1.5,ad5536d6-9824-4823-bf6d-addc03bfc34c,lyft,Lyft,2018-11-26:21.35.09,44.6,0.92,1009.04,0.003,0.86,9.46,21,2018-11-26,Monday,Basic,0,1,0,0,0,0,0
1519,2.32,Uber,Haymarket Square,Back Bay,10.5,1.0,f006ab65-f02c-42d1-ba9c-59d1c748d9da,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:13.32.08,37.56,0.54,991.8,,0.7,7.1,13,2018-11-28,Wednesday,Accessible,1,0,0,0,0,0,0
3812,2.38,Lyft,Boston University,Beacon Hill,22.5,1.0,69c5ae23-5a92-430f-85f7-b531d1226cd2,lyft_lux,Lux Black,2018-11-28:17.02.08,41.32,0.92,991.49,,0.63,9.23,17,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
2663,2.66,Uber,Theatre District,Fenway,22.0,1.0,3035315f-9d3d-4b84-9515-c12298697ec3,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:10.32.07,32.65,0.17,991.26,,0.86,6.29,10,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
1816,2.45,Uber,Theatre District,Boston University,21.0,1.0,613e70cd-aac1-4d5a-bb21-d3cdbfebb6c7,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-12-03:14.53.02,52.71,0.74,999.96,,0.86,6.51,14,2018-12-03,Monday,Sedan,0,0,0,0,1,0,0
2773,1.44,Lyft,North End,Beacon Hill,13.5,1.0,dca003c6-31cb-463e-ba17-ccabcba6059c,lyft_premier,Lux,2018-11-26:13.05.09,41.69,0.93,1015.39,,0.91,3.52,13,2018-11-26,Monday,Lux,0,0,1,0,0,0,0
3735,2.66,Uber,Fenway,Theatre District,16.0,1.0,49495538-534e-44f5-855a-ad595a207d15,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-29:06.49.50,37.85,0.98,1000.17,,0.69,10.06,6,2018-11-29,Thursday,XL,0,0,0,0,0,0,1
2917,3.04,Lyft,Northeastern University,West End,22.5,1.0,324c7743-c8ff-47b3-866b-ffc472c153e9,lyft_premier,Lux,2018-11-28:11.32.07,33.07,0.35,991.05,,0.82,6.53,11,2018-11-28,Wednesday,Lux,0,0,1,0,0,0,0
3483,2.95,Lyft,Theatre District,Boston University,16.5,1.0,7e7c1bf7-6860-4fb8-8ff4-91f86dcb15f5,lyft_plus,Lyft XL,2018-11-28:17.02.08,41.36,0.91,991.51,,0.63,9.18,17,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
2556,1.25,Lyft,Theatre District,Haymarket Square,26.0,1.0,6512b2a5-f189-4a6e-a431-f517aa7d8eb9,lyft_luxsuv,Lux Black XL,2018-11-28:17.32.07,41.38,0.85,991.66,,0.64,9.93,17,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
